"indicator","framework","score_factor","n"
"ab","RMQS_Biodiversite","6",2
"ab","RMQS_Biodiversite","5",9
"ab","RMQS_Biodiversite","4",5
"ab","RMQS_Biodiversite","3",4
"ab","RMQS_Biodiversite","2",1
"ab","RMQS_Biodiversite","1",4
"ab","RMQS_Biodiversite","0",1
"ab","RMQS_BioDiv_Bretagne","6",0
"ab","RMQS_BioDiv_Bretagne","5",4
"ab","RMQS_BioDiv_Bretagne","4",3
"ab","RMQS_BioDiv_Bretagne","3",6
"ab","RMQS_BioDiv_Bretagne","2",4
"ab","RMQS_BioDiv_Bretagne","1",8
"ab","RMQS_BioDiv_Bretagne","0",1
"ab","ANDRA","6",0
"ab","ANDRA","5",8
"ab","ANDRA","4",4
"ab","ANDRA","3",4
"ab","ANDRA","2",5
"ab","ANDRA","1",5
"ab","ANDRA","0",0
"ab","TIGA_rural","6",0
"ab","TIGA_rural","5",10
"ab","TIGA_rural","4",4
"ab","TIGA_rural","3",3
"ab","TIGA_rural","2",4
"ab","TIGA_rural","1",5
"ab","TIGA_rural","0",0
"RSr","RMQS_Biodiversite","6",0
"RSr","RMQS_Biodiversite","5",7
"RSr","RMQS_Biodiversite","4",5
"RSr","RMQS_Biodiversite","3",4
"RSr","RMQS_Biodiversite","2",4
"RSr","RMQS_Biodiversite","1",5
"RSr","RMQS_Biodiversite","0",1
"RSr","RMQS_BioDiv_Bretagne","6",0
"RSr","RMQS_BioDiv_Bretagne","5",3
"RSr","RMQS_BioDiv_Bretagne","4",1
"RSr","RMQS_BioDiv_Bretagne","3",5
"RSr","RMQS_BioDiv_Bretagne","2",7
"RSr","RMQS_BioDiv_Bretagne","1",9
"RSr","RMQS_BioDiv_Bretagne","0",1
"RSr","ANDRA","6",0
"RSr","ANDRA","5",2
"RSr","ANDRA","4",2
"RSr","ANDRA","3",6
"RSr","ANDRA","2",2
"RSr","ANDRA","1",14
"RSr","ANDRA","0",0
"RSr","TIGA_rural","6",0
"RSr","TIGA_rural","5",4
"RSr","TIGA_rural","4",6
"RSr","TIGA_rural","3",2
"RSr","TIGA_rural","2",8
"RSr","TIGA_rural","1",6
"RSr","TIGA_rural","0",0
