"framework","indicator","n","mean","sd","skewness","kurtosis","kurtosis_historical_double_subtracted"
"RMQS_Biodiversite","RSr",96,6.72303291131728,3.32469414997779,0.572638387699737,-0.276783378577767,-3.27678337857777
"RMQS_Biodiversite","Shannon",96,1.33663738863945,0.522144738493474,-0.565107942734034,-0.206141408487585,-3.20614140848759
"RMQS_Biodiversite","Pielou",93,0.75925973150791,0.163430134719329,-1.52413654176023,2.77597457957554,-0.224025420424463
"RMQS_Biodiversite","ab",96,5269.73958333333,6561.61370756148,2.70251017365827,8.41980305930109,5.41980305930109
"RMQS_BioDiv_Bretagne","RSr",98,8.10428352293305,3.08666676639647,-0.0636957162286394,-0.37560082930136,-3.37560082930136
"RMQS_BioDiv_Bretagne","Shannon",98,1.449984547798,0.448460441145622,-0.499787964231286,0.253929206171867,-2.74607079382813
"RMQS_BioDiv_Bretagne","Pielou",97,0.731228355394222,0.16050025050473,-0.664183694875385,-0.0353644527085031,-3.0353644527085
"RMQS_BioDiv_Bretagne","ab",98,10811.0102040816,11192.0371163755,1.47900351858154,1.4286716568125,-1.5713283431875
"ANDRA","RSr",132,8.91424528095019,3.76602594122292,0.397220084560577,0.471382873340259,-2.52861712665974
"ANDRA","Shannon",132,1.65480261554238,0.496615013757351,-0.941152596084988,1.6506152477767,-1.3493847522233
"ANDRA","Pielou",129,0.796259389230895,0.12992362113332,-0.950539206128283,0.94579109984906,-2.05420890015094
"ANDRA","ab",132,6940.59848484848,7942.63961724711,2.9288488877707,10.2393453751653,7.23934537516532
"TIGA_rural","RSr",430,7.16294939643082,2.99832970367663,0.281057450321498,0.24519990246539,-2.75480009753461
"TIGA_rural","Shannon",430,1.46242900847679,0.451924297173312,-0.74227071117899,0.700490431767749,-2.29950956823225
"TIGA_rural","Pielou",423,0.789102260106878,0.137081384161936,-1.14355405039505,1.35855482811354,-1.64144517188646
"TIGA_rural","ab",430,5172.88139534884,7203.61289775984,7.91627397781055,93.6806648826639,90.6806648826639
