"framework","score","xmin","xmax","indicator"
"RMQS_Biodiversite","0",0,1,"RSr"
"RMQS_Biodiversite","1",1,4,"RSr"
"RMQS_Biodiversite","2",4,4.99999033695954,"RSr"
"RMQS_Biodiversite","3",4.99999033695954,5.99999999999995,"RSr"
"RMQS_Biodiversite","4",5.99999999999995,7.99999999998955,"RSr"
"RMQS_Biodiversite","5",7.99999999998955,14.9966349261815,"RSr"
"RMQS_Biodiversite","6",14.9966349261815,25,"RSr"
"RMQS_BioDiv_Bretagne","0",0,1,"RSr"
"RMQS_BioDiv_Bretagne","1",1,4.99999909127444,"RSr"
"RMQS_BioDiv_Bretagne","2",4.99999909127444,7.76375301926495,"RSr"
"RMQS_BioDiv_Bretagne","3",7.76375301926495,8.99956905866885,"RSr"
"RMQS_BioDiv_Bretagne","4",8.99956905866885,9.99999664800544,"RSr"
"RMQS_BioDiv_Bretagne","5",9.99999664800544,14.5919056262512,"RSr"
"RMQS_BioDiv_Bretagne","6",14.5919056262512,25,"RSr"
"ANDRA","1",0,5.99999999999998,"RSr"
"ANDRA","2",5.99999999999998,7,"RSr"
"ANDRA","3",7,8.9997035050874,"RSr"
"ANDRA","4",8.9997035050874,10.9999990511969,"RSr"
"ANDRA","5",10.9999990511969,18.9933662291844,"RSr"
"ANDRA","6",18.9933662291844,25,"RSr"
"TIGA_rural","1",0,4,"RSr"
"TIGA_rural","2",4,5.99999999999943,"RSr"
"TIGA_rural","3",5.99999999999943,7,"RSr"
"TIGA_rural","4",7,8.99999924845188,"RSr"
"TIGA_rural","5",8.99999924845188,17.8781273714606,"RSr"
"TIGA_rural","6",17.8781273714606,25,"RSr"
"RMQS_Biodiversite","1",0,1.0237213533327,"Shannon"
"RMQS_Biodiversite","2",1.0237213533327,1.16910972651313,"Shannon"
"RMQS_Biodiversite","3",1.16910972651313,1.45253829113971,"Shannon"
"RMQS_Biodiversite","4",1.45253829113971,1.66050196732777,"Shannon"
"RMQS_Biodiversite","5",1.66050196732777,2.16767466751456,"Shannon"
"RMQS_Biodiversite","6",2.16767466751456,3,"Shannon"
"RMQS_BioDiv_Bretagne","1",0,1.0484425186721,"Shannon"
"RMQS_BioDiv_Bretagne","2",1.0484425186721,1.32110411123163,"Shannon"
"RMQS_BioDiv_Bretagne","3",1.32110411123163,1.51196675609774,"Shannon"
"RMQS_BioDiv_Bretagne","4",1.51196675609774,1.79445600956902,"Shannon"
"RMQS_BioDiv_Bretagne","5",1.79445600956902,2.38969193413396,"Shannon"
"RMQS_BioDiv_Bretagne","6",2.38969193413396,3,"Shannon"
"ANDRA","1",0,1.36866003280225,"Shannon"
