"site_id","indicator","framework","scenario","raw_value","score"
"B09BIO","RSr","RMQS_Biodiversite","revised_full_untrimmed",4,2
"B09DUB","RSr","RMQS_Biodiversite","revised_full_untrimmed",7.99999816602686,4
"B09FUM","RSr","RMQS_Biodiversite","revised_full_untrimmed",6,4
"B09M103C","RSr","RMQS_Biodiversite","revised_full_untrimmed",10.3112386898104,5
"B09M117C","RSr","RMQS_Biodiversite","revised_full_untrimmed",7.9999999980057,4
"B09MTEC","RSr","RMQS_Biodiversite","revised_full_untrimmed",3,1
"B09OMR","RSr","RMQS_Biodiversite","revised_full_untrimmed",2,1
"B09TEM","RSr","RMQS_Biodiversite","revised_full_untrimmed",5.99999999921906,3
"B10AUPTé","RSr","RMQS_Biodiversite","revised_full_untrimmed",4.99992812454887,2
"B10G0ES","RSr","RMQS_Biodiversite","revised_full_untrimmed",2,1
"B10GOBA","RSr","RMQS_Biodiversite","revised_full_untrimmed",7.35531579545355,4
"B10GOBS","RSr","RMQS_Biodiversite","revised_full_untrimmed",4.99964508954676,2
"B10GOEA","RSr","RMQS_Biodiversite","revised_full_untrimmed",6.99956731439765,4
"B10GOES","RSr","RMQS_Biodiversite","revised_full_untrimmed",8.24562066128995,5
"B10GORA","RSr","RMQS_Biodiversite","revised_full_untrimmed",3.54709678370144,1
"B10GORS","RSr","RMQS_Biodiversite","revised_full_untrimmed",5.99996343277491,3
"B10THLA","RSr","RMQS_Biodiversite","revised_full_untrimmed",8.99069639768162,5
"B10THLT","RSr","RMQS_Biodiversite","revised_full_untrimmed",12.8790411819595,5
"B10THTR","RSr","RMQS_Biodiversite","revised_full_untrimmed",11.9983426509358,5
"B10THTS","RSr","RMQS_Biodiversite","revised_full_untrimmed",9.99535556235837,5
"B10YVGC","RSr","RMQS_Biodiversite","revised_full_untrimmed",4.99999994553415,3
"B10YVPP","RSr","RMQS_Biodiversite","revised_full_untrimmed",4,2
"B10YVSI","RSr","RMQS_Biodiversite","revised_full_untrimmed",2.99999999999999,1
"B10YVSII","RSr","RMQS_Biodiversite","revised_full_untrimmed",5.99999315079364,3
"B10YVSIII","RSr","RMQS_Biodiversite","revised_full_untrimmed",0,0
"B10YVSIV","RSr","RMQS_Biodiversite","revised_full_untrimmed",8.92318471557118,5
"B09BIO","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.22207116334987,3
"B09DUB","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.55628991332893,4
"B09FUM","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.60786408099892,4
"B09M103C","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.59609186253755,4
"B09M117C","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.68972252521473,5
"B09MTEC","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.637617431479338,1
"B09OMR","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.673194708883317,1
"B09TEM","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.998725543708591,1
"B10AUPTé","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.86966488069994,1
"B10G0ES","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.682891499584426,1
"B10GOBA","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.22561086375945,3
"B10GOBS","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.960514920306954,1
"B10GOEA","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.20309094261505,3
"B10GOES","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.0565040742084,2
"B10GORA","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.0796784080399137,1
"B10GORS","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.756068861171335,1
"B10THLA","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.73836813632842,5
"B10THLT","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.87441224712146,5
"B10THTR","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.63049403149526,4
"B10THTS","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.7940033606637,5
"B10YVGC","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.29383417214441,3
"B10YVPP","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.33123212785543,3
"B10YVSI","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0.875983356518112,1
"B10YVSII","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.41128626713029,3
"B10YVSIII","Shannon","RMQS_Biodiversite","revised_full_untrimmed",0,1
"B10YVSIV","Shannon","RMQS_Biodiversite","revised_full_untrimmed",1.5429544378088,4
"B09BIO","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.88153800348913,4
"B09DUB","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.74841732922383,2
"B09FUM","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.897366029655551,5
"B09M103C","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.684068363804614,1
"B09M117C","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.812584769299305,3
"B09MTEC","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.580384397713543,1
"B09OMR","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.97121466805865,5
"B09TEM","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.557399338992427,1
"B10AUPTé","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.54035799811343,1
"B10G0ES","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.98520417991568,5
"B10GOBA","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.614210964829815,1
"B10GOBS","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.596827798372612,1
"B10GOEA","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.618286081719218,1
"B10GOES","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.500788250926202,1
"B10GORA","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.0629306958436919,0
"B10GORS","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.421971501133495,1
"B10THLA","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.791538023433503,3
"B10THLT","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.733452540145104,2
"B10THTR","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.656195542254709,1
"B10THTS","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.779282982122881,2
"B10YVGC","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.803904376121411,3
"B10YVPP","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.960280994564546,5
"B10YVSI","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.79735441297503,3
"B10YVSII","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.787654364608086,3
"B10YVSIII","Pielou","RMQS_Biodiversite","revised_full_untrimmed",,
"B10YVSIV","Pielou","RMQS_Biodiversite","revised_full_untrimmed",0.704979043549862,2
"B09BIO","ab","RMQS_Biodiversite","revised_full_untrimmed",1415,2
"B09DUB","ab","RMQS_Biodiversite","revised_full_untrimmed",3270,4
"B09FUM","ab","RMQS_Biodiversite","revised_full_untrimmed",971,1
"B09M103C","ab","RMQS_Biodiversite","revised_full_untrimmed",28650,5
"B09M117C","ab","RMQS_Biodiversite","revised_full_untrimmed",2386,3
"B09MTEC","ab","RMQS_Biodiversite","revised_full_untrimmed",883,1
"B09OMR","ab","RMQS_Biodiversite","revised_full_untrimmed",442,1
"B09TEM","ab","RMQS_Biodiversite","revised_full_untrimmed",2563,3
"B10AUPTé","ab","RMQS_Biodiversite","revised_full_untrimmed",4863,4
"B10G0ES","ab","RMQS_Biodiversite","revised_full_untrimmed",2476,3
"B10GOBA","ab","RMQS_Biodiversite","revised_full_untrimmed",27766,5
"B10GOBS","ab","RMQS_Biodiversite","revised_full_untrimmed",5836,5
"B10GOEA","ab","RMQS_Biodiversite","revised_full_untrimmed",10347,5
"B10GOES","ab","RMQS_Biodiversite","revised_full_untrimmed",40444,6
"B10GORA","ab","RMQS_Biodiversite","revised_full_untrimmed",35727,6
"B10GORS","ab","RMQS_Biodiversite","revised_full_untrimmed",4332,4
"B10THLA","ab","RMQS_Biodiversite","revised_full_untrimmed",8489,5
"B10THLT","ab","RMQS_Biodiversite","revised_full_untrimmed",12822,5
"B10THTR","ab","RMQS_Biodiversite","revised_full_untrimmed",5568,4
"B10THTS","ab","RMQS_Biodiversite","revised_full_untrimmed",7161,5
"B10YVGC","ab","RMQS_Biodiversite","revised_full_untrimmed",2828,3
"B10YVPP","ab","RMQS_Biodiversite","revised_full_untrimmed",441,1
"B10YVSI","ab","RMQS_Biodiversite","revised_full_untrimmed",4509,4
"B10YVSII","ab","RMQS_Biodiversite","revised_full_untrimmed",7782,5
"B10YVSIII","ab","RMQS_Biodiversite","revised_full_untrimmed",88,0
"B10YVSIV","ab","RMQS_Biodiversite","revised_full_untrimmed",13794,5
"B09BIO","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",4,1
"B09DUB","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",7.99999816602686,3
"B09FUM","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",6,2
"B09M103C","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",10.3112386898104,5
"B09M117C","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",7.9999999980057,3
"B09MTEC","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",3,1
"B09OMR","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",2,1
"B09TEM","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",5.99999999921906,2
"B10AUPTé","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",4.99992812454887,1
"B10G0ES","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",2,1
"B10GOBA","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",7.35531579545355,2
"B10GOBS","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",4.99964508954676,1
"B10GOEA","RSr","RMQS_BioDiv_Bretagne","revised_full_untrimmed",6.99956731439765,2
