"framework","indicator","boundary","probability","median","q025","q975","full_value"
"ANDRA","RSr","q00",0,0,0,2,0
"ANDRA","RSr","q100",1,18.9933662291844,14.995916050032,18.9933662291844,18.9933662291844
"ANDRA","RSr","q20",0.2,5.99999999999994,5.99998077240967,6,5.99999999999998
"ANDRA","RSr","q40",0.4,7,6.99992590460179,7.99999999876893,7
"ANDRA","RSr","q60",0.6,8.99960768387206,8,9.83290980604333,8.9997035050874
"ANDRA","RSr","q80",0.8,10.9999991514386,9.99999976645117,11.3414576937327,10.9999990511969
"ANDRA","ab","q00",0,0,0,354,0
"ANDRA","ab","q100",1,47283,17334,47283,47283
"ANDRA","ab","q20",0.2,1345.2,1062,1817.2,1391.6
"ANDRA","ab","q40",0.4,3185,2618.8,3632.205,3185
"ANDRA","ab","q60",0.6,5071,4174.605,6039.2,5071
"ANDRA","ab","q80",0.8,7924.4,6486,8632,8159.6
"RMQS_BioDiv_Bretagne","RSr","q00",0,1,1,2.99999998880461,1
"RMQS_BioDiv_Bretagne","RSr","q100",1,14.5919056262512,13.7433377702941,14.5919056262512,14.5919056262512
"RMQS_BioDiv_Bretagne","RSr","q20",0.2,4.99999874133229,4,5.99999986069632,4.99999909127444
"RMQS_BioDiv_Bretagne","RSr","q40",0.4,7.60004539616783,6.54891913125284,7.99999998514841,7.76375301926495
"RMQS_BioDiv_Bretagne","RSr","q60",0.6,8.99940479401749,8.97170854848496,9.73484147584775,8.99956905866885
"RMQS_BioDiv_Bretagne","RSr","q80",0.8,9.99999776533696,9.93014797111005,10.9887238630477,9.99999664800544
"RMQS_BioDiv_Bretagne","ab","q00",0,118,118,826,118
"RMQS_BioDiv_Bretagne","ab","q100",1,45044,41269,45044,45044
"RMQS_BioDiv_Bretagne","ab","q20",0.2,2548,2051.8,3114.4,2642
"RMQS_BioDiv_Bretagne","ab","q40",0.4,4859.6,3726.8,6225.2,4670.8
"RMQS_BioDiv_Bretagne","ab","q60",0.6,9857.8,6980.4,11344.4,9527.80000000001
"RMQS_BioDiv_Bretagne","ab","q80",0.8,18465.4,14408.2,21412.6,18205.6
"RMQS_Biodiversite","RSr","q00",0,1,1,1,1
"RMQS_Biodiversite","RSr","q100",1,14.9966349261815,14.9966349261815,14.9966349261815,14.9966349261815
"RMQS_Biodiversite","RSr","q20",0.2,4,4,4,4
"RMQS_Biodiversite","RSr","q40",0.4,4.99999033695954,4.99999033695954,4.99999033695954,4.99999033695954
"RMQS_Biodiversite","RSr","q60",0.6,5.99999999999995,5.99999999999995,5.99999999999995,5.99999999999995
"RMQS_Biodiversite","RSr","q80",0.8,7.99999999998955,7.99999999998955,7.99999999998955,7.99999999998955
"RMQS_Biodiversite","ab","q00",0,118,118,118,118
"RMQS_Biodiversite","ab","q100",1,30187,30187,30187,30187
"RMQS_Biodiversite","ab","q20",0.2,1180,1180,1180,1180
"RMQS_Biodiversite","ab","q40",0.4,1980.8,1980.8,1980.8,1980.8
"RMQS_Biodiversite","ab","q60",0.6,3089.4,3089.4,3089.4,3089.4
"RMQS_Biodiversite","ab","q80",0.8,5731,5731,5731,5731
"TIGA_rural","RSr","q00",0,0,0,2,0
"TIGA_rural","RSr","q100",1,14.9999984729648,10.9999711838804,17.8781273714606,17.8781273714606
"TIGA_rural","RSr","q20",0.2,4,3,5,4
"TIGA_rural","RSr","q40",0.4,5.99999999999162,5,6.99996717822996,5.99999999999943
"TIGA_rural","RSr","q60",0.6,7.19476207872542,6.19999999723427,7.99999999998261,7
"TIGA_rural","RSr","q80",0.8,8.99999338997567,7.9999999775581,9.99831734601088,8.99999924845188
"TIGA_rural","ab","q00",0,118,0,472,0
"TIGA_rural","ab","q100",1,34548,12735,105531,105531
"TIGA_rural","ab","q20",0.2,1344.8,944,1934.21,1298
"TIGA_rural","ab","q40",0.4,2594,1769.8,3302.8,2594
"TIGA_rural","ab","q60",0.6,4269.8,3088.825,5264.685,4363
"TIGA_rural","ab","q80",0.8,6910.2,5070.99,9739.8,6958
