"scenario","framework","indicator","boundary","probability","value"
"pooled_raw","POOLED_RAW","RSr","q00",0,0
"pooled_raw","POOLED_RAW","RSr","q20",0.2,4
"pooled_raw","POOLED_RAW","RSr","q40",0.4,6
"pooled_raw","POOLED_RAW","RSr","q60",0.6,7.99998860912376
"pooled_raw","POOLED_RAW","RSr","q80",0.8,9.7747340239956
"pooled_raw","POOLED_RAW","RSr","q100",1,18.9933662291844
"pooled_raw","POOLED_RAW","ab","q00",0,0
"pooled_raw","POOLED_RAW","ab","q20",0.2,1415
"pooled_raw","POOLED_RAW","ab","q40",0.4,2830
"pooled_raw","POOLED_RAW","ab","q60",0.6,4600
"pooled_raw","POOLED_RAW","ab","q80",0.8,8254
"pooled_raw","POOLED_RAW","ab","q100",1,105531
"pooled_balanced","POOLED_BALANCED","RSr","q00",0,0
"pooled_balanced","POOLED_BALANCED","RSr","q100",1,18.9933662291844
"pooled_balanced","POOLED_BALANCED","RSr","q20",0.2,4
"pooled_balanced","POOLED_BALANCED","RSr","q40",0.4,6
"pooled_balanced","POOLED_BALANCED","RSr","q60",0.6,7.99999997647088
"pooled_balanced","POOLED_BALANCED","RSr","q80",0.8,9.99259874045089
"pooled_balanced","POOLED_BALANCED","ab","q00",0,0
"pooled_balanced","POOLED_BALANCED","ab","q100",1,47283
"pooled_balanced","POOLED_BALANCED","ab","q20",0.2,1416
"pooled_balanced","POOLED_BALANCED","ab","q40",0.4,2830
"pooled_balanced","POOLED_BALANCED","ab","q60",0.6,4906.2
"pooled_balanced","POOLED_BALANCED","ab","q80",0.8,8583.8
