"Nom_site","treatment_site","treatment","contamination","control_site","control_treatment","control_contamination","indicator","raw_treatment","raw_control","LRR","framework","score_treatment","score_control","delta_score"
"QualiAgro","B09BIO","BIO","non","B09TEM","TEM","non","RSr",4,5.99999999921906,-0.405465107978008,"RMQS_Biodiversite",2,3,-1
"QualiAgro","B09BIO","BIO","non","B09TEM","TEM","non","RSr",4,5.99999999921906,-0.405465107978008,"RMQS_BioDiv_Bretagne",1,2,-1
"QualiAgro","B09BIO","BIO","non","B09TEM","TEM","non","RSr",4,5.99999999921906,-0.405465107978008,"ANDRA",1,1,0
"QualiAgro","B09BIO","BIO","non","B09TEM","TEM","non","RSr",4,5.99999999921906,-0.405465107978008,"TIGA_rural",2,2,0
"QualiAgro","B09DUB","DUB","non","B09TEM","TEM","non","RSr",7.99999816602686,5.99999999921906,0.287681843335269,"RMQS_Biodiversite",4,3,1
"QualiAgro","B09DUB","DUB","non","B09TEM","TEM","non","RSr",7.99999816602686,5.99999999921906,0.287681843335269,"RMQS_BioDiv_Bretagne",3,2,1
"QualiAgro","B09DUB","DUB","non","B09TEM","TEM","non","RSr",7.99999816602686,5.99999999921906,0.287681843335269,"ANDRA",3,1,2
"QualiAgro","B09DUB","DUB","non","B09TEM","TEM","non","RSr",7.99999816602686,5.99999999921906,0.287681843335269,"TIGA_rural",4,2,2
"QualiAgro","B09FUM","FUM","non","B09TEM","TEM","non","RSr",6,5.99999999921906,1.30156330149645e-10,"RMQS_Biodiversite",4,3,1
"QualiAgro","B09FUM","FUM","non","B09TEM","TEM","non","RSr",6,5.99999999921906,1.30156330149645e-10,"RMQS_BioDiv_Bretagne",2,2,0
"QualiAgro","B09FUM","FUM","non","B09TEM","TEM","non","RSr",6,5.99999999921906,1.30156330149645e-10,"ANDRA",2,1,1
"QualiAgro","B09FUM","FUM","non","B09TEM","TEM","non","RSr",6,5.99999999921906,1.30156330149645e-10,"TIGA_rural",3,2,1
"QualiAgro","B09OMR","OMR","non","B09TEM","TEM","non","RSr",2,5.99999999921906,-1.09861228853795,"RMQS_Biodiversite",1,3,-2
"QualiAgro","B09OMR","OMR","non","B09TEM","TEM","non","RSr",2,5.99999999921906,-1.09861228853795,"RMQS_BioDiv_Bretagne",1,2,-1
"QualiAgro","B09OMR","OMR","non","B09TEM","TEM","non","RSr",2,5.99999999921906,-1.09861228853795,"ANDRA",1,1,0
"QualiAgro","B09OMR","OMR","non","B09TEM","TEM","non","RSr",2,5.99999999921906,-1.09861228853795,"TIGA_rural",1,2,-1
"QualiAgro","B09BIO","BIO","non","B09TEM","TEM","non","ab",1415,2563,-0.594048916286733,"RMQS_Biodiversite",2,3,-1
"QualiAgro","B09BIO","BIO","non","B09TEM","TEM","non","ab",1415,2563,-0.594048916286733,"RMQS_BioDiv_Bretagne",1,1,0
"QualiAgro","B09BIO","BIO","non","B09TEM","TEM","non","ab",1415,2563,-0.594048916286733,"ANDRA",2,2,0
"QualiAgro","B09BIO","BIO","non","B09TEM","TEM","non","ab",1415,2563,-0.594048916286733,"TIGA_rural",2,2,0
"QualiAgro","B09DUB","DUB","non","B09TEM","TEM","non","ab",3270,2563,0.243611537527228,"RMQS_Biodiversite",4,3,1
