"framework","indicator","boundary","full_value","winsor_value","absolute_shift","relative_shift"
"RMQS_Biodiversite","RSr","q00",1,1.57,0.57,0.57
"RMQS_Biodiversite","RSr","q20",4,4,0,0
"RMQS_Biodiversite","RSr","q40",4.99999033695954,4.99999033695954,0,0
"RMQS_Biodiversite","RSr","q60",5.99999999999995,5.99999999999995,0,0
"RMQS_Biodiversite","RSr","q80",7.99999999998955,7.99999999998955,0,0
"RMQS_Biodiversite","RSr","q100",14.9966349261815,13.8560602080355,-1.14057471814605,-0.0760553766735229
"RMQS_Biodiversite","ab","q00",118,185.26,67.26,0.57
"RMQS_Biodiversite","ab","q20",1180,1180,0,0
"RMQS_Biodiversite","ab","q40",1980.8,1980.8,0,0
"RMQS_Biodiversite","ab","q60",3089.4,3089.4,0,0
"RMQS_Biodiversite","ab","q80",5731,5731,0,0
"RMQS_Biodiversite","ab","q100",30187,26825.71,-3361.29,-0.111348925033955
"RMQS_BioDiv_Bretagne","RSr","q00",1,1.88,0.88,0.88
"RMQS_BioDiv_Bretagne","RSr","q20",4.99999909127444,4.99999909127444,0,0
"RMQS_BioDiv_Bretagne","RSr","q40",7.76375301926495,7.76375301926495,0,0
"RMQS_BioDiv_Bretagne","RSr","q60",8.99956905866885,8.99956905866885,0,0
"RMQS_BioDiv_Bretagne","RSr","q80",9.99999664800544,9.99999664800544,0,0
"RMQS_BioDiv_Bretagne","RSr","q100",14.5919056262512,14.5215420342768,-0.0703635919743615,-0.0048220975228743
"RMQS_BioDiv_Bretagne","ab","q00",118,325.68,207.68,1.76
"RMQS_BioDiv_Bretagne","ab","q20",2642,2642,0,0
"RMQS_BioDiv_Bretagne","ab","q40",4670.8,4670.8,0,0
"RMQS_BioDiv_Bretagne","ab","q60",9527.80000000001,9527.80000000001,0,0
"RMQS_BioDiv_Bretagne","ab","q80",18205.6,18205.6,0,0
"RMQS_BioDiv_Bretagne","ab","q100",45044,42345.04,-2698.95999999999,-0.0599183021046086
"ANDRA","RSr","q00",0,0.89,0.89,
"ANDRA","RSr","q20",5.99999999999998,5.99999999999998,0,0
"ANDRA","RSr","q40",7,7,0,0
"ANDRA","RSr","q60",8.9997035050874,8.9997035050874,0,0
"ANDRA","RSr","q80",10.9999990511969,10.9999990511969,0,0
"ANDRA","RSr","q100",18.9933662291844,17.2191557327245,-1.77421049645989,-0.0934121142640696
"ANDRA","ab","q00",0,105.02,105.02,
"ANDRA","ab","q20",1391.6,1391.6,0,0
"ANDRA","ab","q40",3185,3185,0,0
"ANDRA","ab","q60",5071,5071,0,0
"ANDRA","ab","q80",8159.6,8159.6,0,0
"ANDRA","ab","q100",47283,36158.89,-11124.11,-0.235266586299516
"TIGA_rural","RSr","q00",0,0.44,0.44,
"TIGA_rural","RSr","q20",4,4,0,0
"TIGA_rural","RSr","q40",5.99999999999943,5.99999999999943,0,0
"TIGA_rural","RSr","q60",7,7,0,0
"TIGA_rural","RSr","q80",8.99999924845188,8.99999924845188,0,0
"TIGA_rural","RSr","q100",17.8781273714606,14.9999692657797,-2.8781581056809,-0.160987672024051
"TIGA_rural","ab","q00",0,118,118,
"TIGA_rural","ab","q20",1298,1298,0,0
"TIGA_rural","ab","q40",2594,2594,0,0
"TIGA_rural","ab","q60",4363,4363,0,0
"TIGA_rural","ab","q80",6958,6958,0,0
"TIGA_rural","ab","q100",105531,31849.92,-73681.08,-0.698193706114791
