"framework","indicator","boundary","probability","full","winsorised","indicator_label"
"RMQS_Biodiversite","RSr","q20",0.2,4,4,"Species richness"
"RMQS_Biodiversite","RSr","q40",0.4,4.99999033695954,4.99999033695954,"Species richness"
"RMQS_Biodiversite","RSr","q60",0.6,5.99999999999995,5.99999999999995,"Species richness"
"RMQS_Biodiversite","RSr","q80",0.8,7.99999999998955,7.99999999998955,"Species richness"
"RMQS_Biodiversite","ab","q20",0.2,1180,1180,"Density"
"RMQS_Biodiversite","ab","q40",0.4,1980.8,1980.8,"Density"
"RMQS_Biodiversite","ab","q60",0.6,3089.4,3089.4,"Density"
"RMQS_Biodiversite","ab","q80",0.8,5731,5731,"Density"
"RMQS_BioDiv_Bretagne","RSr","q20",0.2,4.99999909127444,4.99999909127444,"Species richness"
"RMQS_BioDiv_Bretagne","RSr","q40",0.4,7.76375301926495,7.76375301926495,"Species richness"
"RMQS_BioDiv_Bretagne","RSr","q60",0.6,8.99956905866885,8.99956905866885,"Species richness"
"RMQS_BioDiv_Bretagne","RSr","q80",0.8,9.99999664800544,9.99999664800544,"Species richness"
"RMQS_BioDiv_Bretagne","ab","q20",0.2,2642,2642,"Density"
"RMQS_BioDiv_Bretagne","ab","q40",0.4,4670.8,4670.8,"Density"
"RMQS_BioDiv_Bretagne","ab","q60",0.6,9527.80000000001,9527.80000000001,"Density"
"RMQS_BioDiv_Bretagne","ab","q80",0.8,18205.6,18205.6,"Density"
"ANDRA","RSr","q20",0.2,5.99999999999998,5.99999999999998,"Species richness"
"ANDRA","RSr","q40",0.4,7,7,"Species richness"
"ANDRA","RSr","q60",0.6,8.9997035050874,8.9997035050874,"Species richness"
"ANDRA","RSr","q80",0.8,10.9999990511969,10.9999990511969,"Species richness"
"ANDRA","ab","q20",0.2,1391.6,1391.6,"Density"
"ANDRA","ab","q40",0.4,3185,3185,"Density"
"ANDRA","ab","q60",0.6,5071,5071,"Density"
"ANDRA","ab","q80",0.8,8159.6,8159.6,"Density"
"TIGA_rural","RSr","q20",0.2,4,4,"Species richness"
"TIGA_rural","RSr","q40",0.4,5.99999999999943,5.99999999999943,"Species richness"
"TIGA_rural","RSr","q60",0.6,7,7,"Species richness"
"TIGA_rural","RSr","q80",0.8,8.99999924845188,8.99999924845188,"Species richness"
"TIGA_rural","ab","q20",0.2,1298,1298,"Density"
"TIGA_rural","ab","q40",0.4,2594,2594,"Density"
"TIGA_rural","ab","q60",0.6,4363,4363,"Density"
"TIGA_rural","ab","q80",0.8,6958,6958,"Density"
